"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5182","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","12","2","1","15.686707","0","57"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","128","27","6","145.954880","0","1026"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","16","2","1","18.362078","0","88"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","40","8","1","61.455997","0","435"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","76","5","2","81.881027","0","468"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","12","5","1","17.605001","0","41"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","12","1","1","19.050833","0","40"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","16","6","1","17.968687","0","69"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","124","2","1","274.276337","0","1988"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","16","1","1","22.867937","0","77"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","12","3","1","16.119066","0","34"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","92","7","1","177.625092","0","1525"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","12","1","1","15.756685","0","61"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","45","6","1","50.214397","0","403"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","12","3","1","16.013298","0","47"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","56","7","1","76.985092","0","888"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","60","1","1","73.954948","0","746"
"/Game/Core/World/Materials/Terrain/Terrain_M.Terrain_M","0","34","5","1","58.507568","0","172"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","20","2","1","21.674122","0","135"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","12","5","1","16.981703","0","33"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","50","5","1","80.058403","0","317"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","23","7","1","27.929569","0","91"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","712","8","1","1047.945068","0","36910"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","34","5","1","57.792690","0","199"
"/Engine/VREditor/TransformGizmo/Main.Main","0","12","3","1","19.480173","0","47"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","12","3","1","20.262283","0","43"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","45","7","1","51.899605","0","327"
"/AnimationSharing/AnimSharingBase.AnimSharingBase","0","46","8","1","71.841026","0","336"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","175","7","1","324.675171","0","3207"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","14","1","1","19.379335","0","63"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","128","8","1","204.528473","0","1682"
"/Engine/Tutorial/SubEditors/TutorialAssets/Character/TutorialTPP_Mat.TutorialTPP_Mat","0","46","7","1","72.006355","0","258"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","12","2","1","15.702000","0","35"
